document_id,pid,source_filename,checksum_sha256,title,creator,date_text,document_type,archive_reference,page_count,ocr_status,ingestion_status,ingestion_error,chunk_count,ingestion_version,corpus_version,source_uri,source_path,authority_id,archive_record_id,archive_record_pid,asset_id,asset_pid,asset_id_or_asset_pid,metadata_source,access_level,rights_note,rights_owner,rights_holders,copyright_holder,copyright_holder_other,data_rights,data_rights_holder,image_rights,image_rights_holder,current_consent_status,current_consent_scope,consent_evidence_uri,location_repository,location_accession,location_box,box_title,location_note,language_codes,keywords,subjects,extent_number,extent_unit,date_qualifier,normalized_date,date_unknown,page_count_source,media_used_for_ml,use_for_ml,ml_pages,ml_page_scope,ml_annotation,ml_policy_status,ml_exclusion_reason,record_title,record_public_uri
doc_230440137378_063f52d0a4b3,230440137378,3c927b768995fdc77f243420f8640431269603e1d163068d7aee3098c3f5384b.pdf,,The education of industrial designers,,April 1966,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_f40d78dbce52,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/876970045058/master/3c927b768995fdc77f243420f8640431269603e1d163068d7aee3098c3f5384b__pdf_master__v1.pdf,,131,126,451248821104,3c927b768995fdc77f243420f8640431269603e1d163068d7aee3098c3f5384b,671802725005,3c927b768995fdc77f243420f8640431269603e1d163068d7aee3098c3f5384b,archive_graphql.records_v1,Internal,Royal College of Art,RCA,Royal College of Art,Copyright © Royal College of Art,,Royal College of Art,Royal College of Art,Royal College of Art,Royal College of Art,,,,RCA Special Collections,,32,KMA box 32,Kenneth Agnew archive,en-GB,"['The education of industrial designers', 'ICSID', 'Industrial design education', 'Design curriculum', 'Hochschule für Gestaltung Ulm', 'Misha Black', 'Gui Bonsiepe', 'Tomas Maldonado', 'Design process', 'Design pedagogy', 'International design education', 'Industrial design schools']",[],,Box,,196604,False,,True,True,,all_pages,,eligible_unrestricted,,Kenneth Agnew collection,https://ddrarchive.org/id/record/451248821104
doc_230440137378_4276b6f6cf6d,230440137378,ad57bb16da0e27d977f86df04d4c28005c1330679bd89163669528551cf9c311.pdf,,The education of industrial designers,,July 1965,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_f40d78dbce52,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/876970045058/master/ad57bb16da0e27d977f86df04d4c28005c1330679bd89163669528551cf9c311__pdf_master__v1.pdf,,131,126,451248821104,ad57bb16da0e27d977f86df04d4c28005c1330679bd89163669528551cf9c311,372558578984,ad57bb16da0e27d977f86df04d4c28005c1330679bd89163669528551cf9c311,archive_graphql.records_v1,Internal,Royal College of Art,RCA,Royal College of Art,Copyright © Royal College of Art,,Royal College of Art,Royal College of Art,Royal College of Art,Royal College of Art,,,,RCA Special Collections,,32,KMA box 32,Kenneth Agnew archive,en-GB,"['The education of industrial designers', 'Industrial design education', 'Design curriculum', 'Design schools', 'International design education', 'ICSID', 'UNESCO', 'Misha Black', 'Design pedagogy', 'Industrial Design', 'Design methods']",[],,Box,,196507,False,,True,True,,all_pages,,eligible_unrestricted,,Kenneth Agnew collection,https://ddrarchive.org/id/record/451248821104
doc_230440137378_8421201f7253,230440137378,c2fb5e65b235cbf7d8839b72b3f4fe248efd4a5e46b4e95e6bdd390d31fe743b.pdf,,"Product design process and design methods, Finland",,July 1968,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_f40d78dbce52,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/876970045058/master/c2fb5e65b235cbf7d8839b72b3f4fe248efd4a5e46b4e95e6bdd390d31fe743b__pdf_master__v1.pdf,,131,126,451248821104,c2fb5e65b235cbf7d8839b72b3f4fe248efd4a5e46b4e95e6bdd390d31fe743b,154363050370,c2fb5e65b235cbf7d8839b72b3f4fe248efd4a5e46b4e95e6bdd390d31fe743b,archive_graphql.records_v1,Internal,Royal College of Art,RCA,Royal College of Art,Copyright © Royal College of Art,,Royal College of Art,Royal College of Art,Royal College of Art,Royal College of Art,,,,RCA Special Collections,,32,KMA box 32,Kenneth Agnew archive,en-GB,"['Kenneth Agnew', 'Product design process', 'Design methods', 'Finland', 'Industrial Design', 'Product design', 'Design methodology', 'Design education', 'July 1968']",[],,Box,,196807,False,,True,True,,all_pages,,eligible_unrestricted,,Kenneth Agnew collection,https://ddrarchive.org/id/record/451248821104
doc_259848197772_8cb8bebecae7,259848197772,51d24089645b5b891dff19126087dfbd212f44ed34d0ddb372d239cf3c275bf5.pdf,,"Job 171 | A review of research needs aimed at elucidating principles of interface design for man-computer design systems, ref: 171/05",,May 1976,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_f40d78dbce52,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/259848197772/master/51d24089645b5b891dff19126087dfbd212f44ed34d0ddb372d239cf3c275bf5__pdf_master__v1.pdf,,172,182,137969107545,51d24089645b5b891dff19126087dfbd212f44ed34d0ddb372d239cf3c275bf5,643649016508,51d24089645b5b891dff19126087dfbd212f44ed34d0ddb372d239cf3c275bf5,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,V&A,The Board and Trustees of the Victoria and Albert Museum,Copyright © Royal College of Art,,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,,,,RCA Special Collections,,,Job 171,,en-GB,"['Man-computer interface', 'Interface design', 'Computer-aided building design', 'Interactive design systems', 'Human factors', 'Department of Environment', 'Design systems', 'Research needs', 'Policy standards']",[],,Report,,197605,False,,True,True,,all_pages,,eligible_unrestricted,,Job 171 | A review of research needs aimed at elucidating principles of interface design for man-computer design systems,https://ddrarchive.org/id/record/137969107545
doc_259848197772_4bc24e6f6c7f,259848197772,877611e060c99addf7396b7b9238ab31a7f831ccd7a897523af6cd329b6ddf8f.pdf,,"Job 171 | A review of research needs aimed at elucidating principles of interface design for man-computer design systems, ref: 171/06",,April 1977,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_f40d78dbce52,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/259848197772/master/877611e060c99addf7396b7b9238ab31a7f831ccd7a897523af6cd329b6ddf8f__pdf_master__v1.pdf,,172,182,137969107545,877611e060c99addf7396b7b9238ab31a7f831ccd7a897523af6cd329b6ddf8f,185142084098,877611e060c99addf7396b7b9238ab31a7f831ccd7a897523af6cd329b6ddf8f,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,V&A,The Board and Trustees of the Victoria and Albert Museum,Copyright © Royal College of Art,,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,,,,RCA Special Collections,,,Job 171,,en-GB,"['Human factors', 'User interface', 'Computer design systems', 'Man-computer interface', 'Ergonomics', 'Task analysis', 'Workstation design', 'Training', 'User support']",[],,Report,,197704,False,,True,True,,all_pages,,eligible_unrestricted,,Job 171 | A review of research needs aimed at elucidating principles of interface design for man-computer design systems,https://ddrarchive.org/id/record/137969107545
doc_287080879712_c9058a9ca3df,287080879712,050ee82f6fef663c8328b2156e6e863ed1ae1305615ebcc72f40c1fef7dee2e0.pdf,,Design as a Dimension of the Curriculum draft position paper,,Circa 1984,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_f40d78dbce52,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/050ee82f6fef663c8328b2156e6e863ed1ae1305615ebcc72f40c1fef7dee2e0__pdf_master__v1.pdf,,149,155,014262507600,050ee82f6fef663c8328b2156e6e863ed1ae1305615ebcc72f40c1fef7dee2e0,110570077460,050ee82f6fef663c8328b2156e6e863ed1ae1305615ebcc72f40c1fef7dee2e0,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,V&A,The Board and Trustees of the Victoria and Albert Museum,Copyright © Royal College of Art,,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,,,,V&A East Storehouse Art and Design Archives,,AU.AAD.20718,Design in general education,"AAD/1989/9 Part 2 of 3 Incomplete collection of students' theses, conference proceedings, policy papers & Bruce Archer's Lecture Notes (1961-1982)",en-GB,"['Design as a Dimension of the Curriculum', 'Design dimension', 'General education', 'School curriculum', 'Design awareness', 'Design capability', 'Design pedagogy', 'Design in general education', 'Draft position paper', 'Educational policy', 'Curriculum theory', 'Primary education', 'Secondary education', 'Design and technology', 'Art education', 'Design studies', '1984']",[],,Report,Circa,1984,False,,True,True,,all_pages,,eligible_unrestricted,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_65e55d098336,287080879712,1b843ccf7939d2c94c6c62e029a56eec3b0ccb9b79e9f38800a3f1066c0aab1e.pdf,,Ken Baynes  confidential memorandum to Bruce Archer and Chris Frayling concerning the future of the DEU,,January 1984,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_f40d78dbce52,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/1b843ccf7939d2c94c6c62e029a56eec3b0ccb9b79e9f38800a3f1066c0aab1e__pdf_master__v1.pdf,,149,155,014262507600,1b843ccf7939d2c94c6c62e029a56eec3b0ccb9b79e9f38800a3f1066c0aab1e,942396101474,1b843ccf7939d2c94c6c62e029a56eec3b0ccb9b79e9f38800a3f1066c0aab1e,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,V&A,The Board and Trustees of the Victoria and Albert Museum,Copyright © Royal College of Art,,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,,,,V&A East Storehouse Art and Design Archives,,AU.AAD.20717,Design in general education,"AAD/1989/9 Part 1 of 3 Incomplete collection of students' theses, conference proceedings, policy papers & Bruce Archer's Lecture Notes (1961-1982)",en-GB,"['Ken Baynes', 'Bruce Archer', 'Chris Frayling', 'DDR', 'Department of Cultural History', 'DCH', 'Future of the DEU', 'Confidential memorandum', 'Academic administration', 'Unit leadership', 'Staffing', 'Specialist staff', 'Workload', 'School curriculum', 'Design education research', 'Project Board', 'Departmental management', 'RCA administration', 'January 1984', 'Handwritten memorandum']",[],,Item,,198401,False,,True,False,,,,excluded_use_for_ml_false,asset_marked_use_for_ml_false,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_7061158bd9df,287080879712,269402f2369e469f1d278d9ea2f402921f16c7cb180345a6d5e2776d58cb262d.pdf,,Design Dimension Project heads of agreement for participating institutions,,Circa 1985,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_f40d78dbce52,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/269402f2369e469f1d278d9ea2f402921f16c7cb180345a6d5e2776d58cb262d__pdf_master__v1.pdf,,149,155,014262507600,269402f2369e469f1d278d9ea2f402921f16c7cb180345a6d5e2776d58cb262d,362627089689,269402f2369e469f1d278d9ea2f402921f16c7cb180345a6d5e2776d58cb262d,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,V&A,The Board and Trustees of the Victoria and Albert Museum,Copyright © Royal College of Art,,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,,,,V&A East Storehouse Art and Design Archives,,AU.AAD.20718,Design in general education,"AAD/1989/9 Part 2 of 3 Incomplete collection of students' theses, conference proceedings, policy papers & Bruce Archer's Lecture Notes (1961-1982)",en-GB,"['Design Dimension Project', 'Heads of Agreement', 'Participating institutions', 'London Borough of Bromley', 'Department of Trade and Industry', 'DTI', 'Local education authorities', 'Participating authorities', 'Industry and commerce', 'Design professions', 'Design organisations', 'Mobile workshop', 'Resource unit', 'National curriculum development', 'Project governance', 'Project management', 'Advisory Committee', 'Management Group', 'Project funds', 'Staff contracts', 'Salary structure', 'Fixed term contracts', 'RCA administration', 'Bromley Curriculum Development Centre', 'Computing brief', 'Department of Cultural History', 'Education Studies', '1985', '1985-1987']",[],,Report,Circa,1985,False,,True,True,,all_pages,,eligible_unrestricted,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_537a04ab0b1c,287080879712,30737c82ee964f00e8b1fffaf239813cb3d196c9cc157efd1678fa118fb266c4.pdf,,"Ken Baynes confidential memorandum concerning DEU workload, secretarial support and facilities",,March 1984,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_f40d78dbce52,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/30737c82ee964f00e8b1fffaf239813cb3d196c9cc157efd1678fa118fb266c4__pdf_master__v1.pdf,,149,155,014262507600,30737c82ee964f00e8b1fffaf239813cb3d196c9cc157efd1678fa118fb266c4,040286243246,30737c82ee964f00e8b1fffaf239813cb3d196c9cc157efd1678fa118fb266c4,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,V&A,The Board and Trustees of the Victoria and Albert Museum,Copyright © Royal College of Art,,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,,,,V&A East Storehouse Art and Design Archives,,AU.AAD.20717,Design in general education,"AAD/1989/9 Part 1 of 3 Incomplete collection of students' theses, conference proceedings, policy papers & Bruce Archer's Lecture Notes (1961-1982)",en-GB,"['Ken Baynes', 'Bruce Archer', 'Eileen Adams', 'Nigel Cross', 'Janet Oxley', 'Maurice Plaskow', 'Confidential memorandum', 'Staff meeting', 'Workload', 'Secretarial support', 'Facilities', 'College administration', 'Departmental administration', 'Staffing', 'Unit resources', 'Resource planning', 'Administrative support', 'Gulbenkian', 'DES', 'Roehampton Institute', 'Design education development', 'March 1984', 'Handwritten memo']",[],,Item,,198403,False,,True,False,,,,excluded_use_for_ml_false,asset_marked_use_for_ml_false,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_0ca51b627c85,287080879712,402a363ff782964e4ea4c42d50414fec9ecb7319ecb6443cd3a46daa9f1e9ce4.pdf,,"Design Dimension Project advisory group preliminary meeting minutes, Bromley civic centre",,January 1985,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_f40d78dbce52,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/402a363ff782964e4ea4c42d50414fec9ecb7319ecb6443cd3a46daa9f1e9ce4__pdf_master__v1.pdf,,149,155,014262507600,402a363ff782964e4ea4c42d50414fec9ecb7319ecb6443cd3a46daa9f1e9ce4,594517157818,402a363ff782964e4ea4c42d50414fec9ecb7319ecb6443cd3a46daa9f1e9ce4,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,V&A,The Board and Trustees of the Victoria and Albert Museum,Copyright © Royal College of Art,,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,The Board and Trustees of the Victoria and Albert Museum,,,,V&A East Storehouse Art and Design Archives,,AU.AAD.20718,Design in general education,"AAD/1989/9 Part 2 of 3 Incomplete collection of students' theses, conference proceedings, policy papers & Bruce Archer's Lecture Notes (1961-1982)",en-GB,"['Design Dimension Project', 'Advisory Group', 'Preliminary meeting', 'Bromley Civic Centre', 'London Borough of Bromley', 'Ken Baynes', 'Bruce Archer', 'Eileen Adams', 'Jennifer dâ€™Abo', 'Roydon Axe', 'Robert Box', 'Joan Bryant', 'Ron Denny', 'Nick Frewing', 'Victor Margrie', 'Pat Masters', 'Ray Page', 'Roger Standen', 'Lawson Thomas', 'John Weston', 'Design professions', 'Commerce and industry', 'Tripartite collaboration', 'Design awareness', 'Design ability', 'Curriculum policy', 'Curriculum fragmentation', 'Primary education', 'Secondary education', 'Cognitive modelling', 'Technology education', 'Cultural education', 'Local education authorities', 'January 1985', 'Meeting minutes']",[],,Report,,198501,False,,True,True,,all_pages,,eligible_unrestricted,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
