document_id,pid,source_filename,checksum_sha256,title,creator,date_text,document_type,archive_reference,page_count,ocr_status,ingestion_status,ingestion_error,chunk_count,ingestion_version,corpus_version,source_uri,source_path,authority_id,archive_record_id,archive_record_pid,metadata_source,access_level,rights_note,ml_pages,ml_annotation,record_title,record_public_uri
doc_230440137378_c61ced044fd3,230440137378,3c927b768995fdc77f243420f8640431269603e1d163068d7aee3098c3f5384b.pdf,,The education of industrial designers,,July 1968,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/876970045058/master/3c927b768995fdc77f243420f8640431269603e1d163068d7aee3098c3f5384b__pdf_master__v1.pdf,,131,126,451248821104,archive_graphql.records_v1,Internal,Royal College of Art,,,Kenneth Agnew collection,https://ddrarchive.org/id/record/451248821104
doc_230440137378_4da7d9c52118,230440137378,ad57bb16da0e27d977f86df04d4c28005c1330679bd89163669528551cf9c311.pdf,,The education of industrial designers,,July 1968,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/876970045058/master/ad57bb16da0e27d977f86df04d4c28005c1330679bd89163669528551cf9c311__pdf_master__v1.pdf,,131,126,451248821104,archive_graphql.records_v1,Internal,Royal College of Art,,,Kenneth Agnew collection,https://ddrarchive.org/id/record/451248821104
doc_230440137378_dcfad5fe97e9,230440137378,c2fb5e65b235cbf7d8839b72b3f4fe248efd4a5e46b4e95e6bdd390d31fe743b.pdf,,"Product design process and design methods, Finland",,July 1968,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/876970045058/master/c2fb5e65b235cbf7d8839b72b3f4fe248efd4a5e46b4e95e6bdd390d31fe743b__pdf_master__v1.pdf,,131,126,451248821104,archive_graphql.records_v1,Internal,Royal College of Art,,,Kenneth Agnew collection,https://ddrarchive.org/id/record/451248821104
doc_259848197772_1540d3b81397,259848197772,51d24089645b5b891dff19126087dfbd212f44ed34d0ddb372d239cf3c275bf5.pdf,,"Job 171 | A review of research needs aimed at elucidating principles of interface design for man-computer design systems, ref: 171/05",,1976-05-01–1977-04-01,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/259848197772/master/51d24089645b5b891dff19126087dfbd212f44ed34d0ddb372d239cf3c275bf5__pdf_master__v1.pdf,,172,182,137969107545,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Job 171 | A review of research needs aimed at elucidating principles of interface design for man-computer design systems,https://ddrarchive.org/id/record/137969107545
doc_259848197772_730a0bb75634,259848197772,877611e060c99addf7396b7b9238ab31a7f831ccd7a897523af6cd329b6ddf8f.pdf,,"Job 171 | A review of research needs aimed at elucidating principles of interface design for man-computer design systems, ref: 171/06",,1976-05-01–1977-04-01,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/259848197772/master/877611e060c99addf7396b7b9238ab31a7f831ccd7a897523af6cd329b6ddf8f__pdf_master__v1.pdf,,172,182,137969107545,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Job 171 | A review of research needs aimed at elucidating principles of interface design for man-computer design systems,https://ddrarchive.org/id/record/137969107545
doc_287080879712_bc608886d87a,287080879712,050ee82f6fef663c8328b2156e6e863ed1ae1305615ebcc72f40c1fef7dee2e0.pdf,,Design as a Dimension of the Curriculum draft position paper,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/050ee82f6fef663c8328b2156e6e863ed1ae1305615ebcc72f40c1fef7dee2e0__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_ee117f9e3135,287080879712,269402f2369e469f1d278d9ea2f402921f16c7cb180345a6d5e2776d58cb262d.pdf,,Design Dimension Project heads of agreement for participating institutions,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/269402f2369e469f1d278d9ea2f402921f16c7cb180345a6d5e2776d58cb262d__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_5f00f96db72d,287080879712,402a363ff782964e4ea4c42d50414fec9ecb7319ecb6443cd3a46daa9f1e9ce4.pdf,,"Design Dimension Project advisory group preliminary meeting minutes, Bromley civic centre",,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/402a363ff782964e4ea4c42d50414fec9ecb7319ecb6443cd3a46daa9f1e9ce4__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_b2de77f60449,287080879712,40ef4095e7794caf2a7f9c4738468c6308dfe5ffc1fac5a15e458ad486cf7270.pdf,,Design as a dimension of the curriculum report outline,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/40ef4095e7794caf2a7f9c4738468c6308dfe5ffc1fac5a15e458ad486cf7270__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_8ea72ca79206,287080879712,5d5c71105a9468c651f5dda98bd47d651cfe9584cee0e01480b10ee8780d6386.pdf,,Design Dimension project advisory group papers and project details,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/5d5c71105a9468c651f5dda98bd47d651cfe9584cee0e01480b10ee8780d6386__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
