document_id,pid,source_filename,checksum_sha256,title,creator,date_text,document_type,archive_reference,page_count,ocr_status,ingestion_status,ingestion_error,chunk_count,ingestion_version,corpus_version,source_uri,source_path,authority_id,archive_record_id,archive_record_pid,metadata_source,access_level,rights_note,ml_pages,ml_annotation,record_title,record_public_uri
doc_287080879712_bc608886d87a,287080879712,050ee82f6fef663c8328b2156e6e863ed1ae1305615ebcc72f40c1fef7dee2e0.pdf,d784de3dff20a00c89b4ee66ab03110c5c900f7f27ecab38fc107e795d76aa5c,Design as a Dimension of the Curriculum draft position paper,,June 1978,,,18,text_layer_present,inventory_ready,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/050ee82f6fef663c8328b2156e6e863ed1ae1305615ebcc72f40c1fef7dee2e0__pdf_master__v1.pdf,.phase2-samples/materialized/050ee82f6fef663c8328b2156e6e863ed1ae1305615ebcc72f40c1fef7dee2e0.pdf,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_ee117f9e3135,287080879712,269402f2369e469f1d278d9ea2f402921f16c7cb180345a6d5e2776d58cb262d.pdf,,Design Dimension Project heads of agreement for participating institutions,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/269402f2369e469f1d278d9ea2f402921f16c7cb180345a6d5e2776d58cb262d__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_5f00f96db72d,287080879712,402a363ff782964e4ea4c42d50414fec9ecb7319ecb6443cd3a46daa9f1e9ce4.pdf,,"Design Dimension Project advisory group preliminary meeting minutes, Bromley civic centre",,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/402a363ff782964e4ea4c42d50414fec9ecb7319ecb6443cd3a46daa9f1e9ce4__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_b2de77f60449,287080879712,40ef4095e7794caf2a7f9c4738468c6308dfe5ffc1fac5a15e458ad486cf7270.pdf,,Design as a dimension of the curriculum report outline,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/40ef4095e7794caf2a7f9c4738468c6308dfe5ffc1fac5a15e458ad486cf7270__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_8ea72ca79206,287080879712,5d5c71105a9468c651f5dda98bd47d651cfe9584cee0e01480b10ee8780d6386.pdf,,Design Dimension project advisory group papers and project details,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/5d5c71105a9468c651f5dda98bd47d651cfe9584cee0e01480b10ee8780d6386__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_1792eb9dbc26,287080879712,73876e511e303a5260d1ef013423c6b4bf95e481889b5252e8e60f5bd72eb2a3.pdf,,Design Dimension Project proposed publications,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/73876e511e303a5260d1ef013423c6b4bf95e481889b5252e8e60f5bd72eb2a3__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_35b25fe8a980,287080879712,7beb18238ba0a45073f8691c408c26263ed4b77d0ca762e26d09266d68427ca0.pdf,,"Ken Baynes 'Defining a design dimension of the curriculum' paper for the NSAE conference, Bath",,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/7beb18238ba0a45073f8691c408c26263ed4b77d0ca762e26d09266d68427ca0__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_356f23691035,287080879712,89bfaa19fbf307e790a5920eda25dc35d9fcab6533b6e05baa8d6e51507f5df5.pdf,,"DEU student course and assessment papers, spring term",,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/89bfaa19fbf307e790a5920eda25dc35d9fcab6533b6e05baa8d6e51507f5df5__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_2e6d662891e1,287080879712,929b8eb8f1ace8a670c4be70be3a1f76fcb277f2b1b7afd36a20b6dc2f6a18d6.pdf,,Phil Roberts discussion notes for research methods and design cirriculum studies,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/929b8eb8f1ace8a670c4be70be3a1f76fcb277f2b1b7afd36a20b6dc2f6a18d6__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
doc_287080879712_844b238fcca7,287080879712,95bd6ebc6c2089005bfd52e1a367b1a5f612bbb3b5e4dc718cb5d0e131d3bab6.pdf,,Ken Baynes memorandum concerning DEU/DCH future plans and Department of Trade and Industry commission,,June 1978,,,,unverified_remote_source,pending,,,turin-phase2a-archive-inventory-v1,corpus_7c84777c4d19,https://archive-media.lon1.digitaloceanspaces.com/ddr-archive/records/287080879712/master/95bd6ebc6c2089005bfd52e1a367b1a5f612bbb3b5e4dc718cb5d0e131d3bab6__pdf_master__v1.pdf,,149,155,014262507600,archive_graphql.records_v1,Internal,The Board and Trustees of the Victoria and Albert Museum,,,Design Education Unit | DEU,https://ddrarchive.org/id/record/014262507600
